Timestamp,Operation,Message
2024-11-29 19:05:37,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:05:37,Fingerprint Scan,Received data: Initializing Fingerprint sensor...
2024-11-29 19:05:37,Fingerprint Scan,Unexpected data: Initializing Fingerprint sensor.... Retrying...
2024-11-29 19:05:38,Fingerprint Scan,Received data: Fingerprint sensor initialized successfully.
2024-11-29 19:05:38,Fingerprint Scan,Unexpected data: Fingerprint sensor initialized successfully.. Retrying...
2024-11-29 19:05:38,Fingerprint Scan,Received data: Template Count: 0
2024-11-29 19:05:38,Fingerprint Scan,Unexpected data: Template Count: 0. Retrying...
2024-11-29 19:05:38,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:05:38,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:05:38,Fingerprint Scan,Received data: No fingerprint detected. Try again.
2024-11-29 19:05:38,Fingerprint Scan,Unexpected data: No fingerprint detected. Try again.. Retrying...
2024-11-29 19:05:40,Fingerprint Scan,Received data: 
2024-11-29 19:05:40,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:42,Fingerprint Scan,Received data: 
2024-11-29 19:05:42,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:44,Fingerprint Scan,Received data: 
2024-11-29 19:05:44,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:44,Fingerprint Scan,Sending fingerprint scan command to Arduino.
2024-11-29 19:05:44,Fingerprint Scan,Received data: Scanning for fingerprints...
2024-11-29 19:05:44,Fingerprint Scan,Unexpected data: Scanning for fingerprints.... Retrying...
2024-11-29 19:05:45,Fingerprint Scan,Received data: Found Finger ID: #1 with Confidence: 214
2024-11-29 19:05:47,Fingerprint Scan,Received data: 
2024-11-29 19:05:47,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:49,Fingerprint Scan,Received data: 
2024-11-29 19:05:49,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:52,Fingerprint Scan,Received data: 
2024-11-29 19:05:52,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:05:54,Fingerprint Scan,Received data: 
2024-11-29 19:05:54,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:00,Encrypt,Encrypted file: /Users/abdullah/University/test/Question Bank of H.E.T..pdf -> /Users/abdullah/University/test/Question Bank of H.E.T..pdf.enc
2024-11-29 19:06:06,Fingerprint Scan,Received data: 
2024-11-29 19:06:06,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:08,Fingerprint Scan,Received data: 
2024-11-29 19:06:08,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:10,Fingerprint Scan,Received data: 
2024-11-29 19:06:10,Fingerprint Scan,Empty response. Retrying...
2024-11-29 19:06:12,Fingerprint Scan,Received data: 
